2.502000000000000000e+03,1.132600000000000000e+04,1.998000000000000000e+03,4.000000000000000000e+00,3.000000000000000000e+00
3.884000000000000000e+03,1.601300000000000000e+04,1.978000000000000000e+03,3.000000000000000000e+00,3.000000000000000000e+00
1.164000000000000000e+03,6.611000000000000000e+03,1.961000000000000000e+03,3.000000000000000000e+00,2.000000000000000000e+00
1.809000000000000000e+03,4.792000000000000000e+03,2.003000000000000000e+03,4.000000000000000000e+00,2.000000000000000000e+00
1.250000000000000000e+03,2.042400000000000000e+04,2.007000000000000000e+03,2.000000000000000000e+00,2.000000000000000000e+00
1.400000000000000000e+03,7.728000000000000000e+03,1.910000000000000000e+03,4.000000000000000000e+00,2.000000000000000000e+00
1.438000000000000000e+03,8.276000000000000000e+03,1.984000000000000000e+03,3.000000000000000000e+00,2.000000000000000000e+00
9.940000000000000000e+02,2.309300000000000000e+04,1.984000000000000000e+03,2.000000000000000000e+00,2.000000000000000000e+00
1.362000000000000000e+03,7.007000000000000000e+03,1.922000000000000000e+03,3.000000000000000000e+00,2.000000000000000000e+00
3.500000000000000000e+03,1.011600000000000000e+04,1.923000000000000000e+03,4.000000000000000000e+00,4.000000000000000000e+00
1.867000000000000000e+03,2.311000000000000000e+03,2.006000000000000000e+03,3.000000000000000000e+00,2.000000000000000000e+00
1.543000000000000000e+03,5.752000000000000000e+03,1.950000000000000000e+03,2.000000000000000000e+00,2.000000000000000000e+00
1.804000000000000000e+03,1.001900000000000000e+04,1.990000000000000000e+03,3.000000000000000000e+00,2.000000000000000000e+00
2.990000000000000000e+03,1.106600000000000000e+04,1.979000000000000000e+03,4.000000000000000000e+00,3.000000000000000000e+00
1.350000000000000000e+03,3.756000000000000000e+03,1.970000000000000000e+03,3.000000000000000000e+00,2.000000000000000000e+00
2.000000000000000000e+03,7.932000000000000000e+03,1.950000000000000000e+03,4.000000000000000000e+00,3.000000000000000000e+00
1.426000000000000000e+03,1.850000000000000000e+03,1.967000000000000000e+03,3.000000000000000000e+00,2.000000000000000000e+00
2.427000000000000000e+03,1.132600000000000000e+04,2.002000000000000000e+03,4.000000000000000000e+00,3.000000000000000000e+00
2.434000000000000000e+03,3.920000000000000000e+03,1.982000000000000000e+03,3.000000000000000000e+00,3.000000000000000000e+00
1.415000000000000000e+03,6.970000000000000000e+03,1.995000000000000000e+03,3.000000000000000000e+00,2.000000000000000000e+00
1.981000000000000000e+03,5.762000000000000000e+03,1.956000000000000000e+03,4.000000000000000000e+00,3.000000000000000000e+00
4.640000000000000000e+03,9.583000000000000000e+03,1.991000000000000000e+03,4.000000000000000000e+00,5.000000000000000000e+00
1.409000000000000000e+03,6.970000000000000000e+03,1.995000000000000000e+03,3.000000000000000000e+00,2.000000000000000000e+00
1.870000000000000000e+03,9.148000000000000000e+03,1.957000000000000000e+03,3.000000000000000000e+00,2.000000000000000000e+00
2.002000000000000000e+03,6.331000000000000000e+03,1.990000000000000000e+03,4.000000000000000000e+00,3.000000000000000000e+00
